Home,VenueName
Anaheim Ducks,Honda Center
Arizona Coyotes,Gila River Arena
Boston Bruins,TD Garden
Buffalo Sabres,KeyBank Center
Calgary Flames,Scotiabank Saddledome
Carolina Hurricanes,PNC Arena
Chicago Blackhawks,United Center
Columbus Blue Jackets,Nationwide Arena
Dallas Stars,American Airlines Center - TX
Detroit Red Wings,Little Caesars Arena
Edmonton Oilers,Rogers Place
Florida Panthers,BB&T Center
Los Angeles Kings,STAPLES Center
Minnesota Wild,Xcel Energy Center
Montreal Canadiens,Bell Centre
Nashville Predators,Bridgestone Arena
New Jersey Devils,Prudential Center
New York Islanders,Barclays Center
New York Rangers,Madison Square Garden
Ottawa Senators,Canadian Tire Centre
Philadelphia Flyers,Wells Fargo Center-PA
Pittsburgh Penguins,PPG Paints Arena
San Jose Sharks,SAP Center at San Jose
St. Louis Blues,Enterprise Center
Tampa Bay Lightning,Amalie Arena
Toronto Maple Leafs,Scotiabank Arena
Vancouver Canucks,Rogers Arena
Vegas Golden Knights,T-Mobile Arena
Washington Capitals,Capital One Arena
Winnipeg Jets,Bell MTS Place (Manitoba)
